metric,value
allowed_claim,Fluent-inspired duct-flap proxy comparison smoke ran and produced a solver gap report.
capability_gap_count,6
comparison_status,capability_gap_detected
direct_quantitative_equivalence_allowed,False
fluent_reference_available,False
fluent_reference_columns,[]
fluent_reference_committed,False
fluent_reference_path,benchmarks/private/fluent_fsi_2way/reference/fluent_structural_point_flap_displacement.csv
fluent_reference_private_optional,True
fluent_reference_row_count,0
fluent_reference_schema_checked,True
fluent_reference_schema_pass,False
gap_conformal_mesh_equivalence,True
gap_dimensional_velocity_mapping,True
gap_dimensionality_equivalence,True
gap_dynamic_mesh_equivalence,True
gap_exact_flap_tip_displacement,True
gap_linear_elasticity_equivalence,True
official_case_dimensionality,2D
official_dynamic_mesh,True
official_fluent_files_used_as_runtime_input,False
official_monitor_quantity,total_displacement
official_structural_model,linear_elasticity_intrinsic_fsi
our_equivalent_flap_tip_displacement_available,False
our_geometry_mutation_enabled,False
our_solver_dimensionality,3D
our_solver_has_inf,False
our_solver_has_nan,False
our_solver_run_stable,True
our_structural_model_equivalent,False
smoke_matrix_pass,True
step103_fluent_solver_gap_comparison_pass,True
validation_claim_allowed,False
