actual,check,expected,pass
intake_only,mapping_status,intake_only,True
False,direct_equivalence_claim_allowed,False,True
False,validation_claim_allowed,False,True
2D,official_case_dimensionality,2D,True
3D,current_solver_dimensionality,3D,True
2D conformal fluid-solid mesh,official_mesh_type,2D conformal fluid-solid mesh,True
procedural_squid_proxy_or_future_procedural_proxy,current_solver_geometry_type,procedural_squid_proxy_or_future_procedural_proxy,True
linear_elasticity_intrinsic_fsi,official_structure_model,linear_elasticity_intrinsic_fsi,True
mpm_particles_or_future_duct_flap_proxy,current_structure_proxy,mpm_particles_or_future_duct_flap_proxy,True
qualitative_and_diagnostic_only,comparison_level_allowed_initially,qualitative_and_diagnostic_only,True
False,quantitative_match_claim_allowed,False,True
procedural_duct_flap_proxy_not_official_mesh_import,recommended_future_solver_proxy,procedural_duct_flap_proxy_not_official_mesh_import,True
